,time_5000,time_2000,time_10000,adaptive rowing category,age,height,weight,weight_class,profile_id
52857,1142.7,432.4,2333.4,able,45,195.6,78.9,L,1372751
52886,1208.7,476.9,2476.9,able,63,185.4,89.8,H,1372974
52887,1365.7,539.2,2845.5,able,51,172.7,88.9,H,1372979
52895,1486.5,554.1,3002.5,able,40,182.9,99.8,H,1373011
52899,1766.0,733.0,3598.0,able,52,162.6,67.6,H,1373053
52900,1248.4,477.1,2530.4,able,48,172.7,87.5,H,1373058
52906,1176.0,437.8,2651.4,able,51,180.3,74.8,H,1373090
52926,1229.4,454.4,2524.2,able,24,167.6,74.8,L,1373254
52938,1164.0,428.7,2399.0,able,47,182.9,115.2,H,1373333
52945,1367.3,492.6,2865.2,able,37,162.6,75.3,H,1373374
52955,1093.6,409.1,2285.2,able,56,190.5,91.6,H,1373430
52957,1443.5,555.0,3069.5,able,14,165.1,57.2,L,1373437
52986,1501.6,532.5,3095.8,able,51,162.6,69.9,L,1373607
52988,1135.0,435.8,2382.8,able,47,188.0,87.1,H,1373630
53002,1517.0,606.6,3303.6,able,32,167.6,133.8,H,1373733
53015,1194.8,447.2,2387.0,able,38,180.3,126.1,H,1373848
53026,1126.7,414.8,2309.5,able,32,188.0,76.2,H,1373914
53042,1246.0,462.1,2462.0,able,38,190.5,156.5,H,1374068
53049,1182.5,450.3,2440.6,able,50,182.9,98.0,H,1374112
53052,1658.4,639.2,3619.8,able,50,160.0,55.8,L,1374126
53056,1337.7,498.2,2800.5,able,37,180.3,83.9,H,1374150
53058,1177.2,445.3,2442.8,able,40,185.4,108.9,H,1374159
53059,1196.8,417.8,2537.4,able,43,190.5,98.9,H,1374171
53069,1163.4,430.5,2483.2,able,45,193.0,92.1,H,1374209
53087,1195.0,462.9,2460.0,able,62,193.0,135.6,H,1374308
53093,1382.4,564.0,2872.9,able,48,170.2,77.1,L,1374353
53105,1195.0,443.2,2515.5,able,31,185.4,95.3,H,1374413
53108,1502.6,593.8,3285.2,able,32,162.6,57.2,L,1374449
53109,1126.5,425.6,2384.6,able,44,182.9,82.1,H,1374451
53110,1182.3,458.0,2783.9,able,36,177.8,86.2,H,1374454
53122,1093.2,407.9,2404.6,able,34,182.9,81.6,H,1374525
