,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,age,height,weight,weight_class,gender
199,287.0,,232.4,,,491.9,,6738.0,,,113.3,1358.4,,,69,190.5,102.1,H,M
200,351.0,16.6,192.8,2293.5,,410.5,,7967.0,1220.0,,87.5,1098.7,,1328.1,61,188.0,96.2,H,M
201,,,,2303.9,,418.9,5084.5,7513.0,,,,1189.9,,1436.4,52,182.9,87.5,H,M
202,,,,,,,,7369.0,,,,1227.7,,,60,,99.8,H,M
203,301.0,17.5,216.6,2509.5,,479.6,5758.5,7012.0,1063.0,,104.7,1313.7,,1527.1,55,167.6,53.1,L,F
204,,,,,,484.3,,,,,,,,,72,200.7,95.3,H,M
205,,,285.8,,,,,,,,,,,,58,182.9,82.6,H,M
206,,,,2314.3,,,5249.1,,,,,1122.3,,,46,180.3,89.8,H,M
207,,,,2572.0,,,,7016.0,,,119.0,1257.4,,,72,177.8,71.7,L,M
208,,,,,,,,7140.0,,,,,,,52,182.9,93.0,H,M
209,,,210.7,2376.6,,434.8,,7792.0,,,98.5,1163.4,,1403.0,64,193.0,99.8,H,M
210,,,,,,,,7690.0,,,,,,,56,,101.2,H,M
211,,,,,,,,6596.0,,,,1322.4,,1605.8,65,,73.5,H,F
212,,,,,,,,,,,,1236.9,,,60,180.3,73.9,L,M
213,,,205.6,,,,,,,,97.7,,,,58,185.4,83.9,H,M
214,314.0,17.2,,,,482.3,,7130.0,1048.0,,,1205.9,,1481.0,48,190.5,116.6,H,M
215,,,,,,439.9,,,,,,,,,57,185.4,98.4,H,M
216,,,,,,,,,,,,1427.3,,,56,170.2,68.0,H,F
217,,,,,,,,7326.0,,,,,,,67,,88.0,H,M
218,,,,2804.7,,445.1,,7580.0,,,,1357.1,,,70,193.0,102.1,H,M
219,,,,2304.7,,,,7876.0,,,,,,,58,195.6,104.8,H,M
220,,,,2528.4,,,,,,,,,,,61,177.8,73.9,L,M
221,,,,2474.0,,,,7627.0,,,,,14234.0,,53,188.0,98.0,H,M
222,,,,,,439.9,,,,,100.6,1163.1,,,55,182.9,78.0,H,M
223,,,287.4,,,,,,,,125.3,1507.6,,1716.8,58,,126.1,H,F
224,,,,,,,,7852.0,,,,,,,62,,76.2,H,M
225,,,,,,,,,,,155.2,,,,87,167.6,57.2,L,M
226,,,249.7,2756.4,,524.3,,,,,,1312.3,,,56,,89.8,H,M
227,,,209.7,2636.2,,,5716.3,,,,,,,,66,172.7,77.1,H,M
228,,,,,,,,6732.0,,,,,,,63,188.0,99.8,H,M
229,,,,,,,,,,,,1403.0,,,54,,141.1,H,M
230,,,,2382.1,,,,8004.0,1089.0,,,,,,58,188.0,88.5,H,M
231,,,217.2,,,,,,,,,1191.7,,,58,,87.1,H,M
232,,,,,,,,,,,,1260.3,,,60,170.2,69.9,L,M
233,,,,,,470.3,,,,,,1374.1,,,68,177.8,72.6,H,M
234,,,,2533.9,,,5524.2,,,,,,,,48,188.0,98.9,H,M
235,,,,2778.7,,495.5,,,,,,,,,75,175.3,72.1,H,F
236,,,,2631.9,,,,,,,,,,,60,188.0,90.7,H,M
237,,,,,,596.2,,,,,,,,,53,,63.0,H,F
238,,,,2695.9,,,5943.3,,,,,,13483.0,,57,180.3,85.3,H,M
239,,,,,,,,,,,,1472.0,,1710.8,71,170.2,73.9,L,M
240,,,213.3,,,439.4,,,,,103.0,,,,58,185.4,90.7,H,M
241,,,242.0,,,,,6194.0,,,,1361.0,,,73,185.4,89.8,H,M
242,,,,,,,,6485.0,,,,1364.5,,,53,,63.0,H,F
243,,,,,,,,8391.0,,9568.7,,1033.1,,,38,,97.5,H,M
244,270.0,,,2794.4,,499.9,5989.5,6773.0,1001.0,13182.5,116.5,1417.5,,1602.4,54,170.2,82.1,H,F
245,,,,2399.6,,456.7,5549.0,6610.0,,,,1257.8,14102.0,,47,185.4,88.9,H,M
246,281.0,,238.1,2775.3,,478.6,,6730.0,1022.0,,112.2,1280.2,,1578.3,73,,74.4,L,M
247,,,,,,512.5,,6617.0,,,,,,,63,182.9,83.9,H,M
248,,,,,,,,,,,,1105.3,,,62,190.5,99.8,H,M
249,,,,3088.7,,,,,,,,,,,54,177.8,88.0,H,M
250,298.0,,,2814.3,,507.2,,7007.0,,,,,,,67,172.7,72.6,L,M
251,,,,,,,5494.0,,,,,,,,58,162.6,71.2,L,M
252,321.0,,210.9,2368.7,,436.5,5312.9,7513.0,,,102.9,1153.7,,,68,185.4,81.2,H,M
253,308.0,,238.6,2667.9,,,,,,,,,,1532.5,49,,99.8,H,M
254,,,,2808.0,,,,6521.0,,,118.3,,13021.0,,68,,79.8,H,M
