,profile_id,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,adaptive rowing category,age,height,weight,weight_class,gender
195,6940,,,,,,,,5441.0,,,,,,,able,69,177.8,106.6,H,M
196,6958,,,,2320.2,,,,7835.0,,,,,,,able,58,,89.8,H,M
197,6961,,,,2810.1,,,,6585.0,,,,1379.1,,,able,66,182.9,82.6,H,M
198,6973,345.0,16.0,202.7,2363.1,,428.1,5211.9,7631.0,1141.0,11015.9,94.2,1143.8,14885.0,1377.1,able,72,182.9,88.9,H,M
199,7000,287.0,,232.4,,,491.9,,6738.0,,,113.3,1358.4,,,able,69,190.5,102.1,H,M
200,7027,351.0,16.6,192.8,2293.5,,410.5,,7967.0,1220.0,,87.5,1098.7,,1328.1,able,61,188.0,96.2,H,M
201,7042,,,,2303.9,,418.9,5084.5,7513.0,,,,1189.9,,1436.4,able,52,182.9,87.5,H,M
202,7048,,,,,,,,7369.0,,,,1227.7,,,able,60,,99.8,H,M
203,7078,301.0,17.5,216.6,2509.5,,479.6,5758.5,7012.0,1063.0,,104.7,1313.7,,1527.1,able,55,167.6,53.1,L,F
204,7089,,,,,,484.3,,,,,,,,,able,72,200.7,95.3,H,M
205,7143,,,285.8,,,,,,,,,,,,able,58,182.9,82.6,H,M
206,7150,,,,2314.3,,,5249.1,,,,,1122.3,,,able,46,180.3,89.8,H,M
207,7188,,,,2572.0,,,,7016.0,,,119.0,1257.4,,,able,72,177.8,71.7,L,M
208,7197,,,,,,,,7140.0,,,,,,,able,52,182.9,93.0,H,M
209,7276,,,210.7,2376.6,,434.8,,7792.0,,,98.5,1163.4,,1403.0,able,64,193.0,99.8,H,M
210,7336,,,,,,,,7690.0,,,,,,,able,56,,101.2,H,M
211,7374,,,,,,,,6596.0,,,,1322.4,,1605.8,able,65,,73.5,H,F
212,7414,,,,,,,,,,,,1236.9,,,able,60,180.3,73.9,L,M
213,7549,,,205.6,,,,,,,,97.7,,,,able,58,185.4,83.9,H,M
214,7618,314.0,17.2,,,,482.3,,7130.0,1048.0,,,1205.9,,1481.0,able,48,190.5,116.6,H,M
215,7621,,,,,,439.9,,,,,,,,,able,57,185.4,98.4,H,M
216,7653,,,,,,,,,,,,1427.3,,,able,56,170.2,68.0,H,F
217,7702,,,,,,,,7326.0,,,,,,,able,67,,88.0,H,M
218,7733,,,,2804.7,,445.1,,7580.0,,,,1357.1,,,able,70,193.0,102.1,H,M
219,7971,,,,2304.7,,,,7876.0,,,,,,,able,58,195.6,104.8,H,M
220,7985,,,,2528.4,,,,,,,,,,,able,61,177.8,73.9,L,M
221,8005,,,,2474.0,,,,7627.0,,,,,14234.0,,able,53,188.0,98.0,H,M
222,8018,,,,,,439.9,,,,,100.6,1163.1,,,able,55,182.9,78.0,H,M
223,8038,,,287.4,,,,,,,,125.3,1507.6,,1716.8,able,58,,126.1,H,F
224,8055,,,,,,,,7852.0,,,,,,,able,62,,76.2,H,M
225,8100,,,,,,,,,,,155.2,,,,able,87,167.6,57.2,L,M
226,8112,,,249.7,2756.4,,524.3,,,,,,1312.3,,,able,56,,89.8,H,M
227,8121,,,209.7,2636.2,,,5716.3,,,,,,,,able,66,172.7,77.1,H,M
228,8146,,,,,,,,6732.0,,,,,,,able,63,188.0,99.8,H,M
229,8158,,,,,,,,,,,,1403.0,,,able,54,,141.1,H,M
230,8203,,,,2382.1,,,,8004.0,1089.0,,,,,,able,58,188.0,88.5,H,M
231,8234,,,217.2,,,,,,,,,1191.7,,,able,58,,87.1,H,M
232,8235,,,,,,,,,,,,1260.3,,,able,60,170.2,69.9,L,M
233,8255,,,,,,470.3,,,,,,1374.1,,,able,68,177.8,72.6,H,M
234,8348,,,,2533.9,,,5524.2,,,,,,,,able,48,188.0,98.9,H,M
235,8377,,,,2778.7,,495.5,,,,,,,,,able,75,175.3,72.1,H,F
236,8414,,,,2631.9,,,,,,,,,,,able,60,188.0,90.7,H,M
237,8451,,,,,,596.2,,,,,,,,,able,53,,63.0,H,F
238,8479,,,,2695.9,,,5943.3,,,,,,13483.0,,able,57,180.3,85.3,H,M
239,8495,,,,,,,,,,,,1472.0,,1710.8,able,71,170.2,73.9,L,M
240,8585,,,213.3,,,439.4,,,,,103.0,,,,able,58,185.4,90.7,H,M
241,8615,,,242.0,,,,,6194.0,,,,1361.0,,,able,73,185.4,89.8,H,M
242,8629,,,,,,,,6485.0,,,,1364.5,,,able,53,,63.0,H,F
243,8647,,,,,,,,8391.0,,9568.7,,1033.1,,,able,38,,97.5,H,M
244,8662,270.0,,,2794.4,,499.9,5989.5,6773.0,1001.0,13182.5,116.5,1417.5,,1602.4,able,54,170.2,82.1,H,F
245,8710,,,,2399.6,,456.7,5549.0,6610.0,,,,1257.8,14102.0,,able,47,185.4,88.9,H,M
246,8781,281.0,,238.1,2775.3,,478.6,,6730.0,1022.0,,112.2,1280.2,,1578.3,able,73,,74.4,L,M
247,8877,,,,,,512.5,,6617.0,,,,,,,able,63,182.9,83.9,H,M
248,8900,,,,,,,,,,,,1105.3,,,able,62,190.5,99.8,H,M
249,8923,,,,3088.7,,,,,,,,,,,able,54,177.8,88.0,H,M
250,8963,298.0,,,2814.3,,507.2,,7007.0,,,,,,,able,67,172.7,72.6,L,M
251,10244,,,,,,,5494.0,,,,,,,,able,58,162.6,71.2,L,M
252,10307,321.0,,210.9,2368.7,,436.5,5312.9,7513.0,,,102.9,1153.7,,,able,68,185.4,81.2,H,M
253,10338,308.0,,238.6,2667.9,,,,,,,,,,1532.5,able,49,,99.8,H,M
254,10354,,,,2808.0,,,,6521.0,,,118.3,,13021.0,,able,68,,79.8,H,M
255,10361,,,,2841.2,,568.2,,6230.0,,,,1320.6,,,able,67,188.0,125.6,H,M
256,10367,,,224.1,,,472.7,,,,,110.0,,,,able,68,172.7,71.7,L,M
257,10375,,,,2642.6,,,,,,,,,,,able,56,,89.8,H,M
258,10443,,,,,,,,7381.0,1102.0,,,,,,able,72,,73.9,L,M
259,10448,,,,,,369.7,4474.8,8938.0,1333.0,,79.1,,17314.0,1190.0,able,53,,99.8,H,M
260,10484,297.0,,216.6,2489.0,,,,7514.0,,,101.8,1188.6,,,able,52,188.0,77.1,H,M
261,10513,,,,2249.7,,,,,,,,,,,able,62,,82.1,H,M
262,10560,,,,2540.2,,435.4,5541.0,,,,,1297.5,,,able,53,180.3,73.0,L,M
263,10639,,,,,,414.1,,,,,,1168.0,,,able,59,182.9,79.4,H,M
264,10648,250.0,,277.3,3037.3,,557.3,,6063.0,,,128.1,1451.7,,1788.9,able,66,172.7,88.9,H,F
265,10679,,,,,,509.5,,,,,,1296.5,,,able,73,,72.6,L,M
266,10692,,19.3,212.1,2394.1,,449.1,,7675.0,,,103.4,1144.1,,1378.5,able,51,182.9,74.8,H,M
267,10847,336.0,17.8,205.6,2417.1,,433.2,,7277.0,1126.0,,,1159.0,14713.0,,able,55,,92.5,H,M
268,10862,,,237.6,2928.0,,,,,,,,1319.7,,,able,62,177.8,82.6,H,M
269,10892,,,230.4,2508.5,,455.8,5471.1,7218.0,,,107.3,1231.5,14024.0,1455.7,able,64,185.4,87.1,H,M
270,10952,,,,,,,,,,,,1345.1,,,able,57,188.0,106.1,H,M
271,10953,,,,,,526.1,,,,,,1361.1,,,able,60,177.8,74.4,H,M
272,10961,,,,,,,,7632.0,,,104.9,1177.9,,,able,62,188.0,79.4,H,M
273,11046,,,,,,,,7209.0,,,,,,1496.9,able,56,,109.3,H,M
274,11098,,,,,,,,,,,116.9,,,,able,71,,99.8,H,M
275,11104,,,,,,,,7180.0,,,,,,,able,49,188.0,99.8,H,M
276,11346,,,,2336.7,,,5217.5,,,,,1153.4,,,able,52,177.8,68.0,L,M
277,11351,,,,2248.5,,,,8007.0,,,,1087.3,,,able,48,,83.9,H,M
278,11362,300.0,,,2389.7,,457.9,5352.2,7558.0,,,,1190.5,14476.0,,able,61,182.9,74.8,L,M
279,11387,,,316.9,,,,,,,,,1625.3,,1949.9,able,53,175.3,83.9,H,M
280,11421,,,,,,485.1,,,,,108.4,,,,able,56,,82.1,H,M
281,11433,328.0,,,2273.3,,417.6,,7874.0,,,,1102.7,15430.0,1313.3,able,36,,,H,M
282,11512,,,,,,,,6224.0,,,,,,,able,54,177.8,72.6,H,M
283,11530,,,,2812.2,,535.5,,,,,109.1,1289.3,13634.0,,able,57,,72.1,L,M
284,11575,,,246.0,,,,,,,,,,,,able,78,182.9,84.8,L,M
285,11576,,,,,,,,,,,,1125.0,,,able,43,,102.1,H,M
286,11648,,,,,,,,7840.0,,,,1131.2,,,able,58,,96.2,H,M
287,11737,,,,,,,,7530.0,,,,,,,able,46,,92.1,H,M
288,11818,,,,3134.5,,593.4,6700.3,5868.0,,,129.5,1662.0,,,able,70,172.7,90.7,H,F
289,11850,,,,,,,5755.9,6957.0,,,109.8,,,1549.6,able,58,,,H,F
290,11938,359.0,15.4,193.6,,,408.5,4954.2,8198.0,1215.0,10591.0,85.5,1058.8,,1292.1,able,41,185.4,93.9,H,M
291,11977,,,,,,,,,,,,1238.5,,,able,55,,110.2,H,M
292,11990,,,223.5,,,,,,,,99.7,,,,able,62,175.3,72.6,L,M
293,12020,318.0,,,,,,,,1133.0,,,,,,able,73,,74.8,L,M
294,12031,,,,,,,,,,,,1471.5,,,able,67,,78.9,H,M
